,Beni,Bolivia,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosí,Santa Cruz,Tarija
2021-02-03,0.01,0.03,0.05,0.03,0.01,0.02,0.25,0.02,0.04,0.03
2021-02-04,0.01,0.04,0.05,0.05,0.04,0.04,0.32,0.03,0.04,0.06
2021-02-05,0.03,0.06,0.08,0.07,0.06,0.06,0.36,0.04,0.05,0.12
2021-02-06,0.04,0.07,0.08,0.07,0.06,0.08,0.36,0.04,0.05,0.12
2021-02-07,0.04,0.07,0.08,0.07,0.06,0.09,0.36,0.04,0.05,0.12
2021-02-08,0.08,0.08,0.11,0.08,0.07,0.13,0.36,0.05,0.06,0.13
2021-02-09,0.12,0.08,0.12,0.08,0.07,0.13,0.36,0.05,0.07,0.14
2021-02-10,0.12,0.09,0.12,0.08,0.07,0.13,0.36,0.09,0.07,0.14
2021-02-22,0.13,0.09,0.14,0.08,0.07,0.13,0.36,0.09,0.07,0.14
2021-02-23,0.13,0.09,0.14,0.08,0.07,0.13,0.36,0.09,0.07,0.14
2021-02-24,0.13,0.09,0.14,0.08,0.07,0.13,0.36,0.09,0.07,0.14
2021-02-25,0.13,0.09,0.14,0.08,0.07,0.13,0.36,0.09,0.07,0.14
2021-02-28,0.13,0.09,0.14,0.08,0.07,0.13,0.36,0.09,0.07,0.14
2021-03-02,0.13,0.09,0.14,0.08,0.07,0.13,0.36,0.09,0.07,0.14
2021-03-03,0.13,0.09,0.14,0.08,0.07,0.13,0.36,0.09,0.07,0.14
2021-03-04,0.13,0.09,0.14,0.08,0.07,0.13,0.36,0.09,0.07,0.14
2021-03-05,0.13,0.09,0.14,0.08,0.07,0.13,0.36,0.09,0.07,0.14
2021-03-06,1.01,0.83,1.35,0.81,0.79,1.14,1.01,0.55,0.72,1.12
2021-03-07,1.03,0.84,1.35,0.81,0.81,1.14,1.01,0.56,0.72,1.12
2021-03-08,1.08,0.88,1.41,0.86,0.83,1.2,1.04,0.58,0.78,1.15
2021-03-09,1.14,0.94,1.46,0.91,0.87,1.23,1.09,0.62,0.87,1.21
2021-03-10,1.19,1.01,1.53,1.0,0.93,1.27,1.14,0.67,0.95,1.3
2021-03-11,1.23,1.05,1.61,1.06,0.97,1.29,1.19,0.7,0.99,1.37
2021-03-12,1.25,1.09,1.68,1.11,1.01,1.32,1.28,0.73,1.02,1.45
2021-03-13,1.25,1.1,1.68,1.12,1.02,1.32,1.28,0.73,1.02,1.47
2021-03-14,1.25,1.1,1.69,1.12,1.03,1.32,1.28,0.73,1.02,1.47
2021-03-15,1.29,1.13,1.71,1.15,1.07,1.34,1.36,0.75,1.04,1.54
2021-03-16,1.31,1.17,1.75,1.2,1.11,1.35,1.38,0.77,1.07,1.61
2021-03-17,1.34,1.21,1.82,1.25,1.15,1.37,1.43,0.79,1.09,1.74
2021-03-18,1.37,1.25,1.9,1.29,1.18,1.38,1.5,0.82,1.11,1.84
2021-03-19,1.38,1.29,1.93,1.42,1.21,1.4,1.52,0.83,1.14,1.9
2021-03-20,1.39,1.28,1.94,1.33,1.22,1.41,1.52,0.84,1.14,1.92
2021-03-21,1.4,1.28,1.94,1.33,1.22,1.43,1.52,0.84,1.14,1.95
2021-03-22,1.41,1.31,1.96,1.36,1.25,1.45,1.54,0.85,1.16,1.98
2021-03-23,1.43,1.34,2.0,1.44,1.28,1.48,1.57,0.87,1.18,2.03
2021-03-24,1.46,1.38,2.03,1.56,1.3,1.5,1.63,0.89,1.2,2.05
2021-03-25,1.48,1.43,2.06,1.71,1.33,1.56,1.73,0.92,1.23,2.06
2021-03-26,1.52,1.49,2.08,1.88,1.36,1.59,1.81,0.95,1.27,2.08
2021-03-27,1.68,1.5,2.09,1.9,1.37,1.59,1.81,0.96,1.27,2.09
2021-03-28,1.68,1.51,2.09,1.9,1.37,1.59,1.82,0.96,1.27,2.09
2021-03-29,1.84,1.55,2.1,2.01,1.41,1.61,1.85,0.98,1.3,2.09
2021-03-30,1.94,1.61,2.11,2.14,1.45,1.63,1.88,1.0,1.34,2.11
2021-03-31,2.09,1.68,2.11,2.26,1.5,1.69,2.12,1.04,1.41,2.13
2021-04-01,2.32,1.75,2.14,2.37,1.54,1.71,2.6,1.09,1.47,2.14
2021-04-02,2.34,1.76,2.14,2.38,1.55,1.72,2.72,1.1,1.48,2.14
2021-04-03,2.42,1.77,2.14,2.38,1.55,1.72,2.87,1.1,1.49,2.14
2021-04-04,2.42,1.77,2.14,2.39,1.55,1.72,2.91,1.1,1.5,2.14
2021-04-05,2.65,1.86,2.16,2.59,1.6,1.8,3.17,1.16,1.56,2.15
2021-04-06,2.92,1.98,2.19,2.82,1.65,1.94,3.57,1.29,1.65,2.19
2021-04-07,3.16,2.11,2.29,3.02,1.72,2.27,3.89,1.47,1.76,2.29
2021-04-08,3.43,2.27,2.43,3.2,1.8,2.67,4.32,1.79,1.85,2.5
2021-04-09,3.69,2.43,2.66,3.34,1.91,3.11,4.77,2.07,1.95,2.74
2021-04-10,3.72,2.47,2.69,3.38,1.94,3.26,4.86,2.12,1.97,2.79
2021-04-11,3.73,2.49,2.72,3.4,1.96,3.37,4.91,2.12,1.98,2.81
2021-04-12,3.92,2.61,2.85,3.5,2.08,3.49,5.15,2.2,2.09,2.94
2021-04-13,4.14,2.73,2.96,3.61,2.21,3.67,5.53,2.3,2.19,3.1
2021-04-14,4.35,2.87,3.12,3.71,2.34,3.82,6.47,2.39,2.3,3.23
2021-04-15,4.56,3.0,3.39,3.81,2.48,3.98,7.39,2.47,2.4,3.27
2021-04-16,4.77,3.14,3.58,3.88,2.64,4.14,8.24,2.56,2.55,3.34
2021-04-17,4.8,3.19,3.81,3.89,2.68,4.35,8.59,2.57,2.56,3.36
2021-04-18,4.81,3.21,3.88,3.9,2.69,4.5,8.72,2.59,2.58,3.36
2021-04-19,5.03,3.32,4.0,3.96,2.82,4.58,9.55,2.64,2.68,3.44
2021-04-20,5.33,3.44,4.16,4.03,2.98,4.64,10.23,2.7,2.76,3.57
2021-04-21,5.58,3.56,4.31,4.1,3.13,4.65,10.93,2.75,2.86,3.7
2021-04-22,5.85,3.71,4.4,4.21,3.28,4.96,11.7,2.81,2.98,3.94
2021-04-23,6.24,3.93,4.97,4.35,3.46,5.69,12.64,2.93,3.1,4.16
2021-04-24,6.27,4.01,5.34,4.37,3.51,6.21,13.36,2.98,3.12,4.19
2021-04-25,6.28,4.04,5.37,4.38,3.53,6.51,13.49,3.04,3.13,4.19
