,Beni,Bolivia,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosí,Santa Cruz,Tarija
2021-02-03,,,,,,,,,,
2021-02-04,,,,,,,,,,
2021-02-05,,,,,,,,,,
2021-02-06,,,,,,,,,,
2021-02-07,,,,,,,,,,
2021-02-08,,,,,,,,,,
2021-02-09,,,,,,,,,,
2021-02-10,,,,,,,,,,
2021-02-11,,,,,,,,,,
2021-02-12,,,,,,,,,,
2021-02-13,,,,,,,,,,
2021-02-14,,,,,,,,,,
2021-02-15,,,,,,,,,,
2021-02-16,,,,,,,,,,
2021-02-17,,,,,,,,,,
2021-02-18,,,,,,,,,,
2021-02-19,,,,,,,,,,
2021-02-20,,,,,,,,,,
2021-02-21,,,,,,,,,,
2021-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.0,0.0
2021-02-23,0.0,0.01,0.02,0.01,0.0,0.0,0.16,0.01,0.01,0.01
2021-02-24,0.01,0.02,0.04,0.03,0.01,0.02,0.23,0.02,0.02,0.04
2021-02-25,0.01,0.06,0.05,0.07,0.07,0.05,0.29,0.03,0.05,0.07
2021-02-26,0.02,0.06,0.06,0.07,0.07,0.06,0.3,0.03,0.05,0.08
2021-02-27,0.04,0.06,0.07,0.07,0.07,0.08,0.32,0.04,0.05,0.1
2021-02-28,0.05,0.07,0.08,0.07,0.07,0.09,0.33,0.04,0.05,0.12
2021-03-01,0.07,0.07,0.1,0.07,0.07,0.11,0.33,0.05,0.05,0.13
2021-03-02,0.1,0.08,0.12,0.08,0.07,0.13,0.33,0.06,0.05,0.14
2021-03-03,0.1,0.08,0.12,0.08,0.07,0.13,0.33,0.07,0.06,0.14
2021-03-04,0.1,0.08,0.12,0.08,0.07,0.13,0.33,0.08,0.06,0.14
2021-03-05,0.1,0.08,0.13,0.08,0.07,0.13,0.34,0.08,0.06,0.14
2021-03-06,0.1,0.08,0.13,0.08,0.07,0.13,0.34,0.08,0.06,0.14
2021-03-07,0.1,0.08,0.13,0.08,0.07,0.13,0.34,0.08,0.06,0.14
2021-03-08,0.11,0.08,0.13,0.08,0.07,0.13,0.34,0.08,0.06,0.14
2021-03-09,0.11,0.08,0.13,0.08,0.07,0.13,0.34,0.09,0.06,0.14
2021-03-10,0.11,0.09,0.13,0.08,0.07,0.13,0.34,0.09,0.06,0.14
2021-03-11,0.11,0.09,0.14,0.08,0.07,0.13,0.34,0.09,0.06,0.14
2021-03-12,0.11,0.09,0.14,0.08,0.07,0.13,0.35,0.09,0.06,0.14
2021-03-13,0.11,0.09,0.14,0.08,0.07,0.13,0.35,0.09,0.06,0.14
2021-03-14,0.11,0.09,0.14,0.08,0.07,0.13,0.35,0.09,0.06,0.14
2021-03-15,0.11,0.09,0.14,0.08,0.07,0.13,0.35,0.09,0.06,0.14
2021-03-16,0.11,0.09,0.14,0.08,0.07,0.13,0.35,0.09,0.06,0.14
2021-03-17,0.12,0.09,0.14,0.08,0.07,0.13,0.35,0.09,0.06,0.14
2021-03-18,0.12,0.1,0.14,0.08,0.07,0.16,0.35,0.09,0.09,0.15
2021-03-19,0.12,0.15,0.26,0.08,0.1,0.37,0.35,0.09,0.17,0.18
2021-03-20,0.13,0.16,0.29,0.08,0.11,0.54,0.35,0.09,0.17,0.19
2021-03-21,0.13,0.17,0.31,0.08,0.12,0.66,0.35,0.09,0.17,0.19
2021-03-22,0.17,0.24,0.51,0.1,0.21,0.83,0.49,0.1,0.24,0.3
2021-03-23,0.28,0.36,0.87,0.21,0.36,0.92,0.59,0.15,0.31,0.51
2021-03-24,0.41,0.49,1.13,0.38,0.49,0.97,0.66,0.24,0.41,0.65
2021-03-25,0.58,0.61,1.28,0.55,0.58,1.02,0.77,0.35,0.53,0.83
2021-03-26,0.81,0.74,1.36,0.72,0.68,1.08,0.84,0.44,0.66,0.96
2021-03-27,0.85,0.76,1.36,0.76,0.7,1.09,0.84,0.46,0.67,1.01
2021-03-28,0.87,0.76,1.37,0.77,0.7,1.09,0.84,0.46,0.67,1.01
2021-03-29,0.95,0.82,1.41,0.81,0.77,1.15,0.9,0.51,0.73,1.05
2021-03-30,1.01,0.88,1.45,0.87,0.82,1.2,0.96,0.54,0.81,1.11
2021-03-31,1.05,0.94,1.49,0.95,0.87,1.22,1.02,0.57,0.88,1.2
2021-04-01,1.09,0.99,1.55,1.0,0.93,1.25,1.06,0.59,0.92,1.29
2021-04-02,1.09,1.0,1.61,1.02,0.93,1.26,1.1,0.59,0.92,1.29
2021-04-03,1.09,1.0,1.61,1.04,0.94,1.26,1.1,0.59,0.92,1.32
2021-04-04,1.09,1.01,1.61,1.04,0.95,1.26,1.11,0.59,0.92,1.32
2021-04-05,1.16,1.06,1.65,1.11,1.02,1.29,1.18,0.63,0.96,1.45
2021-04-06,1.18,1.1,1.68,1.15,1.06,1.31,1.27,0.65,1.0,1.57
2021-04-07,1.21,1.14,1.75,1.2,1.09,1.33,1.31,0.67,1.02,1.69
2021-04-08,1.24,1.18,1.82,1.24,1.13,1.35,1.37,0.7,1.05,1.77
2021-04-09,1.25,1.21,1.88,1.27,1.17,1.37,1.39,0.72,1.08,1.84
2021-04-10,1.25,1.22,1.89,1.27,1.18,1.37,1.39,0.73,1.08,1.85
2021-04-11,1.26,1.22,1.89,1.28,1.18,1.37,1.39,0.73,1.08,1.85
2021-04-12,1.29,1.24,1.92,1.31,1.2,1.39,1.41,0.75,1.09,1.89
2021-04-13,1.3,1.28,1.97,1.38,1.22,1.42,1.45,0.78,1.11,1.93
2021-04-14,1.33,1.32,2.02,1.5,1.25,1.45,1.5,0.81,1.14,1.94
2021-04-15,1.35,1.37,2.06,1.65,1.27,1.49,1.56,0.84,1.16,1.95
2021-04-16,1.39,1.42,2.09,1.8,1.31,1.53,1.65,0.86,1.2,1.99
2021-04-17,1.39,1.43,2.09,1.82,1.31,1.53,1.66,0.87,1.2,2.0
2021-04-18,1.39,1.43,2.09,1.82,1.32,1.53,1.66,0.87,1.2,2.0
2021-04-19,1.41,1.48,2.11,1.93,1.35,1.55,1.69,0.89,1.25,2.01
2021-04-20,1.43,1.52,2.12,2.0,1.39,1.57,1.73,0.92,1.31,2.03
2021-04-21,1.45,1.57,2.13,2.04,1.42,1.62,1.75,0.96,1.4,2.04
2021-04-22,1.49,1.62,2.15,2.09,1.46,1.65,1.76,1.0,1.49,2.06
2021-04-23,1.5,1.64,2.15,2.1,1.48,1.66,1.79,1.01,1.51,2.08
2021-04-24,1.5,1.64,2.15,2.1,1.48,1.67,1.79,1.02,1.51,2.08
2021-04-25,1.5,1.64,2.16,2.1,1.48,1.67,1.79,1.02,1.51,2.08
2021-04-26,1.53,1.71,2.17,2.22,1.52,1.7,1.8,1.09,1.59,2.09
2021-04-27,1.63,1.77,2.19,2.33,1.58,1.78,1.81,1.19,1.64,2.12
2021-04-28,1.75,1.85,2.25,2.41,1.64,1.91,1.83,1.31,1.71,2.17
2021-04-29,1.91,1.91,2.33,2.46,1.68,2.08,1.87,1.42,1.76,2.24
2021-04-30,2.05,2.01,2.78,2.51,1.76,2.24,1.9,1.51,1.84,2.31
2021-05-01,2.06,2.01,2.48,2.52,1.78,2.32,1.93,1.52,1.84,2.32
2021-05-02,2.07,2.02,2.48,2.52,1.79,2.39,1.93,1.54,1.85,2.32
2021-05-03,2.16,2.07,2.54,2.57,1.84,2.47,1.95,1.58,1.9,2.38
2021-05-04,2.28,2.12,2.64,2.61,1.88,2.54,1.97,1.64,1.94,2.47
2021-05-05,2.41,2.17,2.73,2.63,1.91,2.6,2.0,1.7,1.98,2.51
2021-05-06,2.5,2.21,2.8,2.65,1.94,2.64,2.03,1.76,2.02,2.53
2021-05-07,2.64,2.26,2.84,2.67,1.99,2.69,2.08,1.81,2.08,2.56
